Name,Country,Sales,Profit,Assets,Market Value
Japan Tobacco,Japan,20200000000.0,3400000000.0,47300000000.0,50400000000.0
Freeport-McMoRan,United States,23800000000.0,1600000000.0,54200000000.0,77900000000.0
Fannie Mae,United States,143300000000.0,18000000000.0,4323800000000.0,1800000000.0
Nucor,United States,34100000000.0,4200000000.0,33900000000.0,41300000000.0
Booking Holdings,United States,22000000000.0,4800000000.0,27700000000.0,125800000000.0
Canadian National Railway,Canada,13500000000.0,4400000000.0,53500000000.0,81000000000.0
Corebridge Financial,United States,20800000000.0,2400000000.0,357900000000.0,19100000000.0
Tesco,United Kingdom,85300000000.0,1500000000.0,59500000000.0,27600000000.0
United Airlines Holdings,United States,54800000000.0,2700000000.0,71900000000.0,18100000000.0
BAE Systems,United Kingdom,28700000000.0,2300000000.0,40900000000.0,52300000000.0
HP,United States,53100000000.0,3400000000.0,35800000000.0,30500000000.0
S&P Global,United States,12800000000.0,2800000000.0,60500000000.0,138300000000.0
Cosco Shipping,China,24800000000.0,3400000000.0,65200000000.0,25900000000.0
Freddie Mac,United States,110500000000.0,11300000000.0,3287400000000.0,962000000.0
Sempra,United States,13600000000.0,2900000000.0,89600000000.0,49500000000.0
China Communications Construction,China,106600000000.0,3300000000.0,239200000000.0,10100000000.0
Kering,France,21200000000.0,3200000000.0,45700000000.0,44600000000.0
State Street,United States,18700000000.0,1900000000.0,338000000000.0,23500000000.0
Saudi Telecom,Saudi Arabia,19500000000.0,3600000000.0,42600000000.0,50500000000.0
China Yangtze Power,China,10700000000.0,3800000000.0,78700000000.0,87300000000.0
NTPC,India,21200000000.0,2400000000.0,54700000000.0,42500000000.0
Bank Mandiri,Indonesia,11600000000.0,3600000000.0,136500000000.0,38100000000.0
Aviva,United Kingdom,43200000000.0,1300000000.0,403400000000.0,16899999999.999998
Swedbank,Sweden,13900000000.0,3300000000.0,288000000000.0,23000000000.0
Baidu,China,18800000000.0,2700000000.0,57400000000.0,40700000000.0
First Citizens Bank (NC),United States,14700000000.0,2700000000.0,217800000000.0,25700000000.0
Svenska Handelsbanken,Sweden,17600000000.0,2700000000.0,351300000000.0,18300000000.0
Orix,Japan,19500000000.0,2400000000.0,107800000000.0,25200000000.0
Dow,United States,43500000000.0,1200000000.0,58800000000.0,41600000000.0
IntercontinentalExchange,United States,10000000000.0,2500000000.0,131400000000.0,79400000000.0
Power Construction Corporation of China,China,85600000000.0,1800000000.0,168100000000.0,12700000000.0
Toyota Tsusho,Japan,70500000000.0,2300000000.0,46600000000.0,21700000000.0
Takeda Pharmaceutical,Japan,29500000000.0,996300000.0,99800000000.0,41700000000.0
Poste Italiane,Italy,22200000000.0,2000000000.0,293200000000.0,17400000000.0
Mitsubishi Electric,Japan,36400000000.0,2000000000.0,40800000000.0,37900000000.0
Citic Securities,China,13400000000.0,2700000000.0,216900000000.0,26200000000.0
Haier Smart Home,China,36900000000.0,2400000000.0,35700000000.0,37800000000.0
Kinder Morgan,United States,15100000000.0,2400000000.0,70700000000.0,43700000000.0
Toyota Industries,Japan,26500000000.0,1600000000.0,73200000000.0,29600000000.0
Rolls-Royce Holdings,United Kingdom,20500000000.0,3000000000.0,40200000000.0,44700000000.0
Fortescue Metals Group,Australia,18600000000.0,5800000000.0,29900000000.0,55400000000.0
Waste Management,United States,20700000000.0,2500000000.0,32700000000.000004,84400000000.0
Cheniere Energy,United States,17200000000.0,4900000000.0,42900000000.0,36700000000.0
TAQA,United Arab Emirates,14200000000.0,2000000000.0,58000000000.0,88800000000.0
CSX,United States,14600000000.0,3600000000.0,42700000000.0,65500000000.0
Johnson Controls International,Ireland,26800000000.0,1700000000.0,43500000000.0,46500000000.0
Larsen & Toubro,India,26700000000.0,1600000000.0,40700000000.0,56900000000.0
Femsa,Mexico,42000000000.0,1200000000.0,48000000000.0,42800000000.0
Dominion Energy,United States,14400000000.0,1700000000.0,102000000000.0,44800000000.0
LyondellBasell Industries,United Kingdom,40600000000.0,2100000000.0,36600000000.0,32900000000.0
Shin-Etsu Chemical,Japan,16700000000.0,3600000000.0,34000000000.0,75000000000.0
Investor AB,Sweden,7400000000.0,15200000000.0,84800000000.0,79100000000.0
M&T Bank,United States,13100000000.0,2600000000.0,215100000000.0,25700000000.0
ORLEN Spolka Akcyjna,Poland,85400000000.0,5800000000.0,71200000000.0,10500000000.0
Arch Capital Group,Bermuda,14100000000.0,4800000000.0,52500000000.0,37900000000.0
Synchrony Financial,United States,19400000000.0,2900000000.0,121200000000.0,17600000000.0
Fifth Third Bank,United States,13200000000.0,2300000000.0,214500000000.0,26400000000.0
Becton Dickinson,United States,19700000000.0,1300000000.0,54200000000.0,68300000000.0
ENEOS Holdings,Japan,95800000000.0,2000000000.0,67000000000.0,14400000000.0
Hana Financial Group,South Korea,21500000000.0,2400000000.0,452300000000.0,13300000000.0
Posco,South Korea,57400000000.0,1100000000.0,76700000000.0,22300000000.0
Tata Consultancy Services,India,29100000000.0,5500000000.0,17600000000.0,166500000000.0
Schweizerische Nationalbank,Switzerland,38700000000.0,32400000000.0,942200000000.0,442000000.0
Prologis,United States,8199999999.999999,3200000000.0,93300000000.0,104100000000.0
Wanhua Chemical Group,China,24900000000.0,2400000000.0,38600000000.0,39100000000.0
Oneok,United States,17800000000.0,2200000000.0,44400000000.0,48200000000.0
Analog Devices,United States,11600000000.0,2800000000.0,48400000000.0,106200000000.0
Parker-Hannifin,United States,19800000000.0,2800000000.0,29600000000.0,70100000000.0
Baoshan Iron & Steel,China,48500000000.0,1700000000.0,53700000000.0,21200000000.0
ArcelorMittal,Luxembourg,68300000000.0,921400000.0,93900000000.0,21600000000.0
Nomura,Japan,28800000000.0,1100000000.0,364400000000.0,17500000000.0
Bank Of Shanghai,China,15000000000.0,3200000000.0,436500000000.0,15300000000.0
American Tower,United States,11200000000.0,2100000000.0,66700000000.0,90800000000.0
Hewlett Packard Enterprise,United States,28100000000.0,1900000000.0,58600000000.0,23200000000.0
Marriott International,United States,24100000000.0,2900000000.0,25800000000.0,67900000000.00001
Regeneron Pharmaceuticals,United States,13100000000.0,3900000000.0,34400000000.0,108200000000.0
Intuit,United States,15100000000.0,2800000000.0,29700000000.0,185100000000.0
Sysco,United States,78000000000.0,2100000000.0,24700000000.0,37800000000.0
Daikin Industries,Japan,30400000000.0,1800000000.0,32200000000.000004,47300000000.0
Veolia Environnement,France,49000000000.0,1000000000.0,80200000000.0,23800000000.0
Bridgestone,Japan,30000000000.0,2200000000.0,36900000000.0,30500000000.0
Cummins,United States,34000000000.0,1900000000.0,31800000000.0,39100000000.0
Michelin Group,France,30600000000.0,2100000000.0,38900000000.0,29000000000.0
Komatsu,Japan,26800000000.0,2700000000.0,37200000000.0,28000000000.0
Pfizer,United States,55100000000.0,-289000000.0,221100000000.0,162300000000.0
CSL,Australia,14100000000.0,2500000000.0,37300000000.0,90500000000.0
Keurig Dr Pepper,United States,14900000000.0,2200000000.0,52300000000.0,45800000000.0
Canadian Pacific Kansas City,Canada,10200000000.0,2900000000.0,60300000000.0,76600000000.0
Bank of Baroda,India,17100000000.000002,2300000000.0,198400000000.0,16200000000.0
CTBC Financial Holding,Taiwan,13200000000.0,1800000000.0,270600000000.00003,23200000000.0
Kotak Mahindra Bank,India,11400000000.0,2200000000.0,92000000000.0,40500000000.0
TC Energy,Canada,11400000000.0,2100000000.0,94600000000.0,40400000000.0
Carrier Global,United States,23000000000.0,1200000000.0,40800000000.0,58800000000.0
Aon,Ireland,13700000000.0,2600000000.0,40800000000.0,63600000000.0
Hermès International,France,14500000000.0,4700000000.0,22600000000.0,261399999999.99997
Mitsubishi Heavy Industries,Japan,32200000000.000004,1500000000.0,41300000000.0,29600000000.0
Infineon Technologies,Germany,16899999999.999998,2800000000.0,31400000000.0,52200000000.0
Heineken,Netherlands,32799999999.999996,1300000000.0,61900000000.0,23400000000.0
Boeing,United States,76400000000.0,-2200000000.0,134500000000.0,113500000000.0
Grupo Mexico,Mexico,14300000000.0,3200000000.0,35800000000.0,52600000000.0
London Stock Exchange,United Kingdom,10400000000.0,946000000.0,1026200000000.0,62800000000.0
Sherwin-Williams,United States,23000000000.0,2400000000.0,23400000000.0,79200000000.0
Dollar General,United States,38700000000.0,1700000000.0,33700000000.000004,31200000000.0
Baker Hughes Company,United States,26200000000.0,1800000000.0,37100000000.0,33400000000.0
CRRC,China,32400000000.0,1700000000.0,65200000000.0,18100000000.0
Bank Central Asia,Indonesia,7500000000.0,3300000000.0,91100000000.0,75300000000.0
Boston Scientific,United States,14700000000.0,1800000000.0,36700000000.0,109700000000.0
Naturgy Energy Group,Spain,24500000000.0,2100000000.0,41900000000.0,26100000000.0
Saudi Electricity,Saudi Arabia,20700000000.0,1300000000.0,133500000000.0,19600000000.0
Softbank,Japan,46700000000.0,-1700000000.0,308700000000.0,80600000000.0
Wilmar International,Singapore,67200000000.0,1500000000.0,61800000000.0,14700000000.0
China Vanke,China,65099999999.99999,1500000000.0,202500000000.0,10400000000.0
Maybank,Malaysia,11100000000.0,2000000000.0,223700000000.0,25500000000.0
Hyundai Mobis,South Korea,44300000000.0,2600000000.0,45200000000.0,15100000000.0
General Mills,United States,20200000000.0,2600000000.0,30900000000.0,40200000000.0
Canon,Japan,29000000000.0,1900000000.0,37900000000.0,27500000000.0
Consolidated Edison,United States,14500000000.0,1800000000.0,66700000000.0,33600000000.0
Kansai Electric Power,Japan,28100000000.0,3100000000.0,59700000000.0,14100000000.0
Danone,France,29900000000.0,943800000.0,49100000000.0,41800000000.0
BT Group,United Kingdom,25400000000.0,2300000000.0,65200000000.0,16600000000.000002
Bharti Airtel,India,18100000000.0,901900000.0,53300000000.0,91500000000.0
Etisalat,United Arab Emirates,15000000000.0,2800000000.0,40200000000.0,38100000000.0
OMV Group,Austria,39800000000.0,1700000000.0,55400000000.0,16899999999.999998
Fast Retailing,Japan,20200000000.0,2400000000.0,23400000000.0,80900000000.0
Carrefour,France,91800000000.0,1800000000.0,62000000000.0,12100000000.0
NetEase,China,14600000000.0,4200000000.0,26200000000.0,65000000000.0
Compass Group,United Kingdom,40100000000.0,1700000000.0,22400000000.0,48800000000.0
Principal Financial Group,United States,14900000000.0,1300000000.0,288400000000.0,20000000000.0
BCE,Canada,18300000000.0,1400000000.0,53600000000.0,31400000000.0
Prudential,United Kingdom,10900000000.0,1700000000.0,171600000000.0,28500000000.0
Suzuki Motor,Japan,37200000000.0,1900000000.0,35600000000.0,22200000000.0
FirstRand,South Africa,12400000000.0,2100000000.0,127700000000.0,21200000000.0
Sun Hung Kai Properties,Hong Kong,9200000000.0,3100000000.0,104500000000.0,29800000000.0
Recruit Holdings ,Japan,23600000000.0,2400000000.0,20800000000.0,76500000000.0
Williams,United States,10200000000.0,2900000000.0,52700000000.0,50300000000.0
Xcel Energy,United States,13800000000.0,1800000000.0,65599999999.99999,30800000000.0
Coal India,India,17200000000.0,3900000000.0,28500000000.0,34800000000.0
Kuwait Finance House,Kuwait,9300000000.0,1800000000.0,120400000000.0,40800000000.0
Raymond James Financial,United States,14000000000.0,1800000000.0,81200000000.0,26200000000.0
Reckitt Benckiser Group,United Kingdom,18200000000.0,2000000000.0,34600000000.0,41100000000.0
China Coal Energy,China,27300000000.0,2900000000.0,49200000000.0,14800000000.0
Samsung C&T,South Korea,32200000000.000004,1700000000.0,51500000000.0,17500000000.0
Longfor Group Holdings,China,25400000000.0,1800000000.0,98800000000.0,13000000000.0
Blackstone,United States,10300000000.0,2200000000.0,39700000000.0,151900000000.0
Daiwa House Industry,Japan,36000000000.0,2100000000.0,43200000000.0,16899999999.999998
Shaanxi Coal Industry,China,21700000000.0,2600000000.0,27900000000.0,32700000000.000004
China Merchants Shekou Industrial Zone Holdings,China,28600000000.0,944900000.0,281700000000.0,14300000000.0
Mitsui Fudosan,Japan,16500000000.0,1600000000.0,62700000000.0,26200000000.0
Henkel,Germany,23300000000.0,1400000000.0,35000000000.0,38300000000.0
Imperial Brands,United Kingdom,22800000000.0,2600000000.0,36100000000.0,21500000000.0
Truist Financial,United States,33200000000.000004,-1400000000.0,535000000000.0,53500000000.0
L3Harris Technologies,United States,20200000000.0,1200000000.0,41800000000.0,42400000000.0
Air Products & Chemicals,United States,12200000000.0,2500000000.0,35900000000.0,58400000000.0
Woodside Energy Group,Australia,14000000000.0,1600000000.0,55400000000.0,34900000000.0
Capgemini,France,24300000000.0,1800000000.0,27300000000.0,38600000000.0
NN Group,Netherlands,21600000000.0,1200000000.0,230000000000.0,13500000000.0
Legal & General Group,United Kingdom,55900000000.0,540700000.0,656300000000.0,19000000000.0
Republic Services,United States,15200000000.0,1800000000.0,31400000000.0,59300000000.0
Halliburton,United States,23100000000.0,2600000000.0,24700000000.0,33600000000.0
Bouygues,France,61100000000.0,1100000000.0,64900000000.00001,14500000000.0
Pernod Ricard,France,12600000000.0,2200000000.0,42800000000.0,40800000000.0
Bristol Myers Squibb,United States,45500000000.0,-6100000000.0,99000000000.0,89300000000.0
Coca-Cola Europacific Partners,United Kingdom,19800000000.0,1800000000.0,32299999999.999996,34200000000.000004
Yankuang Energy Group,China,16800000000.0,2500000000.0,58400000000.0,17800000000.0
Markel,United States,16600000000.000002,2500000000.0,44900000000.0,21600000000.0
Huntington Bank,United States,11100000000.0,1800000000.0,193500000000.0,20600000000.0
Tokyo Electric Power,Japan,47800000000.0,1900000000.0,96400000000.0,9800000000.0
CME Group,United States,5600000000.0,3200000000.0,132100000000.0,76700000000.0
STMicroelectronics,Switzerland,16500000000.0,3700000000.0,25000000000.0,37200000000.0
Swiss Life Holding,Switzerland,13200000000.0,1200000000.0,258300000000.0,19900000000.0
Edison International,United States,16399999999.999998,959000000.0,83600000000.0,29400000000.0
GE HealthCare Technologies,United States,19500000000.0,1600000000.0,32200000000.000004,37400000000.0
Thales,France,19900000000.0,1100000000.0,42800000000.0,37500000000.0
Canara Bank,India,16800000000.0,1800000000.0,184000000000.0,12400000000.0
Isbank,Turkey,17600000000.0,3000000000.0,100000000000.0,11500000000.0
Nutrien,Canada,28300000000.0,844400000.0,53600000000.0,28600000000.0
British American Tobacco,United Kingdom,33900000000.0,-17900000000.0,151300000000.0,69900000000.0
East Japan Railway,Japan,18900000000.0,1400000000.0,64599999999.99999,20500000000.0
Central Japan Railway,Japan,11800000000.0,2700000000.0,65700000000.0,21900000000.0
Bank of Nanjing,China,11400000000.0,2500000000.0,331500000000.0,14000000000.0
TE Connectivity,Ireland,15800000000.0,3400000000.0,22800000000.0,46200000000.0
Power Finance,India,11100000000.0,2400000000.0,124600000000.0,18500000000.0
Royal Caribbean Group,United States,14700000000.0,2100000000.0,35200000000.0,36500000000.0
HeidelbergCement,Germany,22900000000.0,2100000000.0,40200000000.0,19000000000.0
AirBnB,United States,10200000000.0,4900000000.0,24500000000.0,92500000000.0
Bharat Petroleum,India,54100000000.0,3200000000.0,24300000000.0,16399999999.999998
LG Chem,South Korea,40000000000.0,758000000.0,61000000000.0,23000000000.0
Turkish Airlines,Turkey,21200000000.0,6800000000.0,35600000000.0,13800000000.0
Wuliangye Yibin,China,10300000000.0,4400000000.0,25000000000.0,84000000000.0
Subaru Corporation,Japan,32500000000.0,2700000000.0,31800000000.0,15600000000.0
Weichai Power,China,30100000000.0,1400000000.0,46900000000.0,17500000000.0
Luxshare Precision Industry,China,32600000000.0,1600000000.0,23600000000.0,31500000000.0
Atlas Copco,Sweden,16600000000.000002,2700000000.0,18600000000.0,90000000000.0
United Rentals,United States,14500000000.0,2500000000.0,26700000000.0,45700000000.0
CNH Industrial,United Kingdom,24200000000.0,2300000000.0,45700000000.0,14400000000.0
Loews,United States,16300000000.0,1500000000.0,80900000000.0,17200000000.0
Entergy,United States,12000000000.0,2100000000.0,61600000000.0,24100000000.0
Quanta Computer,Taiwan,34299999999.999996,1400000000.0,23100000000.0,34200000000.000004
BASF,Germany,72100000000.0,33600000.0,88300000000.0,47500000000.0
NXP Semiconductors,Netherlands,13300000000.0,2800000000.0,23300000000.0,68500000000.0
Lam Research,United States,14200000000.0,3600000000.0,18300000000.0,119200000000.0
Vertex Pharmaceuticals,United States,10200000000.0,4000000000.0,23900000000.0,114900000000.0
Citizens Financial Group,United States,12500000000.0,1400000000.0,220400000000.0,16899999999.999998
Xiamen C&D,China,101200000000.0,1800000000.0,123400000000.0,4500000000.0
S.F. Holding,China,36600000000.0,1200000000.0,31100000000.0,25400000000.0
Norfolk Southern,United States,12000000000.0,1400000000.0,42100000000.0,52300000000.0
Deutsche Boerse,Germany,6600000000.0,1900000000.0,262899999999.99997,37200000000.0
Intact Financial,Canada,20300000000.0,1200000000.0,38100000000.0,30100000000.0
Fujifilm Holdings,Japan,20500000000.0,1700000000.0,31600000000.0,26400000000.0
Everest Re Group,Bermuda,15400000000.0,2900000000.0,47900000000.0,17100000000.000002
OTP Bank,Hungary,11800000000.0,2900000000.0,113700000000.0,13600000000.0
Trane Technologies,Ireland,18200000000.0,2200000000.0,19300000000.0,74400000000.0
Inpex,Japan,15100000000.0,2400000000.0,48200000000.0,19100000000.0
Wesfarmers,Australia,28900000000.0,1700000000.0,18600000000.0,51900000000.0
Colgate-Palmolive,United States,19800000000.0,2600000000.0,16600000000.000002,77200000000.0
Samsung Life Insurance,South Korea,17500000000.0,1400000000.0,233500000000.0,11800000000.0
Haleon,United Kingdom,14000000000.0,1300000000.0,43400000000.0,38200000000.0
Infosys,India,18600000000.0,3200000000.0,16500000000.0,71900000000.0
Devon Energy,United States,15100000000.0,3300000000.0,25000000000.0,31400000000.0
Punjab National Bank,India,14800000000.0,1100000000.0,191700000000.0,16500000000.0
Publicis Groupe,France,16000000000.0,1400000000.0,40600000000.0,28800000000.0
MediaTek,Taiwan,15000000000.0,2900000000.0,20200000000.0,57500000000.0
SK Hynix,South Korea,30400000000.0,-3500000000.0,76700000000.0,96500000000.0
Gilead Sciences,United States,27400000000.0,484000000.0,56300000000.0,84400000000.0
Union Bank of India,India,14300000000.0,1700000000.0,168100000000.0,12700000000.0
Abu Dhabi Commercial Bank,United Arab Emirates,9900000000.0,2200000000.0,161900000000.0,16700000000.0
Gallagher,United States,10500000000.0,1100000000.0,61000000000.0,56300000000.0
International Airlines,United Kingdom,31800000000.0,2900000000.0,41600000000.0,11100000000.0
Fujitsu,Japan,26000000000.0,1800000000.0,23200000000.0,27900000000.0
Public Service Enterprise Group,United States,9700000000.0,1800000000.0,52400000000.0,37100000000.0
Aptiv,Ireland,20100000000.0,3000000000.0,23600000000.0,22300000000.0
Bayer ,Germany,51000000000.0,-3400000000.0,129500000000.0,30500000000.0
China Zheshang Bank,China,18200000000.0,2100000000.0,437500000000.0,8300000000.000001
George Weston,Canada,45000000000.0,1000000000.0,36000000000.0,18800000000.0
Cardinal Health,United States,220600000000.0,552000000.0,45900000000.0,24100000000.0
Kubota,Japan,20800000000.0,1700000000.0,38000000000.0,17900000000.0
Regions Financial,United States,9200000000.0,1800000000.0,154900000000.0,18500000000.0
Bunge,United States,57600000000.0,1900000000.0,25800000000.0,14600000000.0
Equitable Holdings,United States,13300000000.0,1200000000.0,276400000000.0,13200000000.0
China National Nuclear Power,China,10300000000.0,1500000000.0,78300000000.0,24000000000.0
Bajaj Finserv ,India,13000000000.0,984100000.0,64500000000.0,30300000000.0
Mahindra & Mahindra,India,16800000000.0,1400000000.0,28300000000.0,37500000000.0
Nintendo,Japan,11600000000.0,3400000000.0,20800000000.0,63700000000.0
Kenvue,United States,15500000000.0,1500000000.0,27300000000.0,39200000000.0
National Bank of Kuwait ,Kuwait,7800000000.0,1800000000.0,124600000000.0,23700000000.0
Barrick Gold,Canada,11500000000.0,1400000000.0,45800000000.0,31400000000.0
Coinbase,United States,4700000000.0,1300000000.0,348000000000.0,51000000000.0
Ecolab,United States,15500000000.0,1600000000.0,21300000000.0,66700000000.0
AutoZone,United States,17800000000.0,2600000000.0,16700000000.0,50500000000.0
Illinois Tool Works,United States,16100000000.000002,3100000000.0,15700000000.0,74800000000.0
DSV,Denmark,21600000000.0,1700000000.0,22000000000.0,31400000000.0
Standard Bank Group,South Africa,7800000000.0,2500000000.0,167600000000.0,17300000000.0
Associated British Foods,United Kingdom,24900000000.0,1500000000.0,23700000000.0,25900000000.0
Lenovo Group,Hong Kong,55700000000.0,876000000.0,39500000000.0,16300000000.0
Northern Trust,United States,12800000000.0,976600000.0,156100000000.0,17500000000.0
Reinsurance Group of America,United States,20700000000.0,860000000.0,100700000000.0,14000000000.0
Nokia,Finland,22800000000.0,888000000.0,42900000000.0,21600000000.0
PKO Bank Polski,Poland,9700000000.0,1500000000.0,124600000000.0,18200000000.0
Ferguson,United Kingdom,29400000000.0,1800000000.0,15700000000.0,42700000000.0
Grupa PZU,Poland,14600000000.0,1400000000.0,118100000000.0,12200000000.0
IQVIA,United States,15100000000.0,1400000000.0,26600000000.0,42100000000.0
Woori Financial Group,South Korea,19100000000.0,1700000000.0,374900000000.0,8000000000.0
Edp-energias De Portugal,Portugal,17000000000.0,1100000000.0,60200000000.0,17400000000.0
Hess,United States,11600000000.0,2000000000.0,24700000000.0,48700000000.0
Naspers,South Africa,6100000000.0,4099999999.9999995,60500000000.0,38300000000.0
Swire Pacific,Hong Kong,12100000000.0,3700000000.0,57300000000.0,12500000000.0
Kimberly-Clark,United States,20400000000.0,1800000000.0,17100000000.000002,45200000000.0
China Tower Corp.,China,13300000000.0,1400000000.0,46000000000.0,21700000000.0
SingTel,Singapore,10600000000.0,2400000000.0,34500000000.0,29700000000.0
Chubu Electric Power,Japan,25000000000.0,2800000000.0,47000000000.0,9500000000.0
CMOC Group,China,25700000000.0,1400000000.0,24600000000.0,21900000000.0
Hengli Petrochemical,China,31800000000.0,1100000000.0,37700000000.0,15300000000.0
QBE Insurance Group,Australia,21700000000.0,1400000000.0,34900000000.0,17600000000.0
Riyad Bank,Saudi Arabia,7100000000.0,2200000000.0,107900000000.0,21300000000.0
Sinopharm Group,China,84300000000.0,1300000000.0,54100000000.0,8800000000.0
Telefónica,Spain,44200000000.0,-712300000.0,112700000000.0,25000000000.0
Telstra,Australia,15100000000.0,1300000000.0,31100000000.0,28400000000.0
Cognizant,United States,19300000000.0,2100000000.0,18400000000.0,34200000000.000004
3M,United States,32700000000.000004,-7000000000.0,55200000000.0,58200000000.0
Industrial Bank of Korea,South Korea,15600000000.0,2000000000.0,336800000000.0,8199999999.999999
NRG Energy,United States,28500000000.0,1600000000.0,25400000000.0,17200000000.0
CBRE Group,United States,32500000000.0,995100000.0,23000000000.0,28000000000.0
Tokyo Electron,Japan,12700000000.0,2500000000.0,16200000000.0,107500000000.0
Metallurgical Corp of China,China,89100000000.0,1100000000.0,97300000000.0,4700000000.0
Bank Of Hangzhou,China,9900000000.0,2100000000.0,265300000000.0,11400000000.0
CEZ Group,Czech Republic,15300000000.0,1400000000.0,35200000000.0,21600000000.0
Micron Technology,United States,18300000000.0,-3800000000.0,65700000000.0,138700000000.0
China Energy Engineering,China,57700000000.0,1200000000.0,112800000000.0,4900000000.0
AerCap Holdings,Ireland,7400000000.0,3300000000.0,71100000000.0,19200000000.0
CGN Power,China,11500000000.0,1500000000.0,58000000000.0,18700000000.0
Swisscom,Switzerland,12400000000.0,1900000000.0,28400000000.0,28700000000.0
Diamondback Energy,United States,8700000000.0,3200000000.0,29700000000.0,35300000000.0
New China Life Insurance,China,18900000000.0,2100000000.0,178900000000.0,7300000000.0
JSW Steel,India,21100000000.0,1100000000.0,27400000000.0,26600000000.0
RELX,United Kingdom,11400000000.0,2200000000.0,19000000000.0,82000000000.0
Raiffeisen Bank International,Austria,16200000000.0,2500000000.0,219700000000.0,6300000000.0
Asahi Group Holdings,Japan,19600000000.0,1200000000.0,35700000000.0,19300000000.0
Bank Leumi,Israel,9900000000.0,1900000000.0,203100000000.0,11900000000.0
DTE Energy,United States,12000000000.0,1300000000.0,45900000000.0,24100000000.0
Centrica,United Kingdom,32900000000.0,4900000000.0,27200000000.0,9700000000.0
Nu Holdings,Cayman Islands,8100000000.0,1300000000.0,43800000000.0,55600000000.0
Albertsons,United States,79200000000.0,1300000000.0,28800000000.0,11900000000.0
Ally Financial,United States,16200000000.0,858000000.0,192900000000.0,12200000000.0
Anglo American,United Kingdom,30700000000.0,300900000.0,66500000000.0,41200000000.0
GD Power Development,China,25000000000.0,896500000.0,64800000000.0,12800000000.0
FirstEnergy,United States,12900000000.0,1100000000.0,51300000000.0,23000000000.0
PPG ,United States,18200000000.0,1400000000.0,21900000000.0,31500000000.0
Bank Hapoalim,Israel,9400000000.0,2000000000.0,190700000000.0,11900000000.0
Tenet Healthcare,United States,20900000000.0,2600000000.0,28900000000.0,12500000000.0
Ross Stores,United States,20400000000.0,1900000000.0,15300000000.0,44400000000.0
Global Payments,United States,9800000000.0,1300000000.0,51800000000.0,27900000000.0
MercadoLibre,Argentina,15800000000.0,1100000000.0,19100000000.0,88700000000.0
Anhui Conch Cement,China,19900000000.0,1500000000.0,34700000000.0,14600000000.0
Deutsche Lufthansa,Germany,38800000000.0,1500000000.0,51100000000.0,8700000000.0
Akbank,Turkey,14700000000.0,2600000000.0,64099999999.99999,10200000000.0
Inner Mongolia Yili ,China,17400000000.0,1800000000.0,22300000000.0,24800000000.0
Teck Resources,Canada,11300000000.0,1200000000.0,43100000000.0,27900000000.0
Amphenol,United States,12800000000.0,2000000000.0,16700000000.0,79200000000.0
Magna International,Canada,43100000000.0,1000000000.0,32700000000.000004,13600000000.0
Great Wall Motor ,China,25100000000.0,1400000000.0,27100000000.0,16399999999.999998
Jardine Matheson,Bermuda,36000000000.0,686000000.0,89200000000.0,11400000000.0
Warner Bros. Discovery,United States,40600000000.0,-3000000000.0,119800000000.0,19700000000.0
CIMB Group Holdings,Malaysia,8000000000.0,1500000000.0,159600000000.0,15500000000.0
O'Reilly Automotive,United States,16100000000.000002,2400000000.0,14200000000.0,59600000000.0
Asr Nederland,Netherlands,13700000000.0,1100000000.0,166000000000.0,11100000000.0
Daiichi Sankyo,Japan,11100000000.0,1400000000.0,22900000000.0,68200000000.0
Tenaris,Luxembourg,14200000000.0,3500000000.0,21500000000.0,20200000000.0
Constellation Brands,United States,10000000000.0,1700000000.0,25700000000.0,46700000000.0
GE Vernova,United States,33200000000.000004,-438000000.0,47900000000.0,44600000000.0
Continental,Germany,44300000000.0,781900000.0,40800000000.0,13600000000.0
Samsung SDI,South Korea,17000000000.0,1400000000.0,26300000000.0,21300000000.0
Huaneng Power International,China,35700000000.0,783600000.0,78200000000.0,10300000000.0
Hindalco Industries,India,26100000000.0,1100000000.0,27100000000.0,17700000000.0
Banco de Sabadell,Spain,11100000000.0,1300000000.0,259800000000.0,11100000000.0
Bank of Ireland,Ireland,9700000000.0,1600000000.0,172000000000.0,11700000000.0
Aeon,Japan,66700000000.0,312000000.0,86500000000.0,18200000000.0
Sumitomo Mitsui Trust,Japan,15100000000.0,547700000.0,501400000000.0,16500000000.0
Walgreens Boots Alliance,United States,144600000000.0,-6000000000.0,84200000000.0,15700000000.0
NEC,Japan,24000000000.0,1000000000.0,27900000000.0,18800000000.0
Idemitsu Kosan,Japan,60300000000.0,1600000000.0,33100000000.0,8900000000.0
Vistra Energy,United States,14600000000.0,759000000.0,38200000000.0,32700000000.000004
W. R. Berkley,United States,12500000000.0,1500000000.0,33600000000.0,20300000000.0
Corteva,United States,16800000000.0,559000000.0,43600000000.0,39300000000.0
Lincoln National,United States,16800000000.0,1400000000.0,353900000000.0,5100000000.0
WEC Energy Group,United States,8700000000.0,1400000000.0,43900000000.0,27000000000.0
Singapore Airlines,Singapore,14100000000.0,2000000000.0,33400000000.0,15000000000.0
Hikvision,China,12600000000.0,2000000000.0,18300000000.0,43500000000.0
Mitsubishi Estate,Japan,10400000000.0,1200000000.0,50100000000.0,22300000000.0
Coupang,United States,25700000000.0,1300000000.0,14900000000.0,41100000000.0
